id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
449,iphone xs,128gb,tmobile,false,89,fair,mint,87144599643750,59-636-9518,Red,"Bare Escentuals Beauty, Inc.",
450,iphone 8,64gb,verizon,true,90,good,fair,58318828510103,22-072-4144,Green,"Vitality Works, Inc.",
451,iphone 8,128gb,att,true,92,fair,fair,86358252000766,43-646-6875,Maroon,"Hi-Tech Pharmacal Co., Inc.",
452,iphone xr,64gb,sprint,true,89,fair,fair,69185674064651,24-698-7433,Crimson,Acme United Corporation,
453,iphone xr,128gb,sprint,true,86,good,fair,44188606933520,48-753-1367,Teal,Teva Pharmaceuticals USA Inc,
454,iphone 8,256gb,verizon,true,96,fair,mint,38845870610994,59-540-1778,Turquoise,"Aplicare, Inc.",
455,iphone 8 plus,64gb,sprint,true,88,fair,mint,79474637841182,34-963-3518,Fuscia,Procter & Gamble Manufacturing Company,b11d:d0d3:4262:ba27:fe78:b72e:89b9:dcb1
456,iphone xr,128gb,att,false,97,mint,fair,13130343290555,72-276-5608,Aquamarine,Pliva Inc.,
457,iphone xr,64gb,sprint,false,95,fair,fair,30662556845256,99-787-6155,Turquoise,Greenstone LLC,
458,iphone 8,64gb,verizon,true,100,fair,fair,91732763281892,56-807-5220,Khaki,"Antigen Laboratories, Inc.",
459,iphone xs,256gb,att,false,97,fair,good,8933708703763,55-162-9901,Mauv,"Hospira, Inc.",
460,iphone 8,256gb,att,false,99,fair,fair,67758554430100,14-474-3294,Blue,Family Dollar Services Inc,8e3b:e51b:3189:da48:da4c:fa20:8b41:78c0
461,iphone xr,128gb,att,true,87,fair,fair,58950349520497,86-012-1373,Goldenrod,HyVee Inc,
462,iphone xr,64gb,sprint,true,86,good,fair,29958272456383,75-400-1466,Khaki,Pharmacia and Upjohn Company,
463,iphone xs,64gb,att,false,86,mint,good,72761430660487,94-210-8208,Khaki,"Deb USA, Inc.",
464,iphone xs,128gb,sprint,true,97,mint,fair,52133303330706,13-800-9310,Aquamarine,American Health Packaging,87ee:b7c1:8bf0:a64e:da7d:e534:48a3:dedd
465,iphone 8 plus,64gb,att,true,100,mint,mint,45718217170876,53-167-0611,Red,"Watson Laboratories, Inc.",
466,iphone 8 plus,64gb,sprint,false,85,fair,mint,61420832708334,49-832-7563,Turquoise,REMEDYREPACK INC.,
467,iphone 8 plus,256gb,sprint,true,93,fair,mint,42200177840510,18-783-4178,Green,Safeway,
468,iphone x,64gb,sprint,true,97,good,mint,41828836160679,82-263-2688,Pink,"Chattem, Inc.",
469,iphone 8,64gb,att,false,91,good,fair,94797311397967,31-200-8564,Turquoise,Laboratoires Clarins S.A,
470,iphone xs,64gb,att,true,95,fair,good,23057965833167,94-911-2165,Maroon,H E B,
471,iphone 8 plus,64gb,att,false,85,fair,mint,93827469717188,10-614-9231,Pink,"Watson Pharma, Inc.",d64e:fb4f:f9ca:44f9:17fd:c6cb:819c:652d
472,iphone xr,128gb,tmobile,true,99,mint,mint,81380831604818,50-525-1577,Fuscia,Caudalie USA Inc.,
473,iphone x,64gb,verizon,false,100,good,fair,76192858600385,88-672-4944,Crimson,A-S Medication Solutions LLC,
474,iphone xs,64gb,tmobile,true,85,fair,fair,88911462164105,34-771-8463,Puce,Mylan Pharmaceuticals Inc.,
475,iphone xr,128gb,tmobile,false,97,good,good,18248945756542,60-915-7071,Crimson,Ferring Pharmaceuticals Inc.,
476,iphone xr,256gb,att,true,88,fair,good,45300557111541,43-003-0529,Maroon,"NeoPharm Co., Ltd.",
477,iphone xr,64gb,sprint,true,89,mint,fair,32370868205371,62-935-4439,Red,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",
478,iphone xs,128gb,verizon,false,85,good,mint,8503019870255,83-131-8708,Teal,"MedVantx, Inc.",
479,iphone xs,128gb,tmobile,false,94,fair,mint,73155860080102,01-386-3994,Blue,Prometheus Laboratories Inc.,
480,iphone 8,256gb,att,true,88,fair,mint,59800799048377,75-167-6523,Turquoise,"Paddock Laboratories, LLC",
481,iphone x,256gb,tmobile,false,95,fair,fair,89072330905821,93-037-7171,Turquoise,"Physicians Total Care, Inc.",d5d5:4266:cd25:edc6:43ee:6817:185:6fb7
482,iphone xs,256gb,att,false,90,good,fair,29541829431239,46-960-0676,Aquamarine,"Nelco Laboratories, Inc.",
483,iphone xs,128gb,att,false,97,fair,fair,83456214804400,98-493-4760,Maroon,"Antigen Laboratories, Inc.",
484,iphone 8 plus,256gb,verizon,true,92,mint,mint,41660172237240,01-444-3256,Pink,"Boca Pharmacal, Inc",
485,iphone 8,256gb,att,false,86,mint,fair,28045664751590,61-679-6638,Maroon,State of Florida DOH Central Pharmacy,
486,iphone 8 plus,64gb,verizon,true,91,fair,good,23336879243503,66-257-6099,Purple,Boehringer Ingelheim Pharmaceuticals Inc.,
487,iphone xs,64gb,verizon,false,91,good,mint,30373754616728,73-196-7787,Goldenrod,Western Family Foods Inc,
488,iphone 8 plus,128gb,verizon,false,98,mint,fair,78821508478005,00-702-3695,Maroon,STAT Rx USA LLC,
489,iphone x,256gb,verizon,true,86,good,mint,60183103160226,78-399-7732,Purple,Endo Pharmaceuticals Solutions Inc.,
490,iphone 8 plus,128gb,att,false,92,good,good,41893810599262,80-441-8630,Crimson,"Nature's Way Products, Inc.",
491,iphone xr,64gb,sprint,true,99,good,mint,31383550054561,31-468-5873,Puce,Torrent Pharmaceuticals Limited,
492,iphone xr,128gb,att,false,99,fair,mint,32390329970518,06-379-0865,Teal,Laboratoires Clarins S.A,
493,iphone x,128gb,verizon,true,98,good,good,18179958361035,83-687-5764,Orange,"Antigen Laboratories, Inc.",
494,iphone xs,64gb,tmobile,true,96,mint,fair,80202444992576,71-388-8628,Yellow,AKG Innovations LLC,2846:ca90:9174:496a:1f0d:11c1:8f5:cf44
495,iphone x,256gb,tmobile,true,93,mint,fair,43115182854078,36-555-2427,Khaki,Apotheca Company,
496,iphone 8,64gb,tmobile,false,99,mint,good,73399568867130,19-975-3878,Aquamarine,"Rugby Laboratories, Inc.",
497,iphone xs,128gb,tmobile,false,92,mint,fair,67820427659236,04-297-1486,Aquamarine,Physicians Formula Inc,
498,iphone xs,128gb,att,true,97,fair,mint,65960479276371,27-723-7286,Crimson,Sun Pharma Global FZE,
499,iphone xs,256gb,sprint,true,95,fair,good,13939644081689,79-346-6278,Crimson,Colgate-Palmolive Company,
500,iphone x,128gb,verizon,false,99,mint,mint,79650780497467,81-349-0699,Goldenrod,Unit Dose Services,
501,iphone xs,64gb,verizon,true,97,mint,good,64082386025171,67-398-2196,Indigo,Cardinal Health,
502,iphone 8,128gb,verizon,false,87,fair,mint,63767909009434,26-233-6937,Turquoise,Apotheca Company,
503,iphone 8 plus,256gb,sprint,true,96,mint,good,93722203314270,32-402-0786,Orange,"Hospira, Inc.",
504,iphone 8 plus,128gb,sprint,true,85,mint,fair,50750222666040,82-781-1928,Teal,Unit Dose Services,
505,iphone xr,256gb,sprint,false,89,good,good,98500808698410,78-090-9898,Green,"Preferred Pharmaceuticals, Inc.",
506,iphone x,256gb,sprint,true,95,fair,good,53742653445188,48-280-7394,Blue,"PD-Rx Pharmaceuticals, Inc.",
507,iphone 8,128gb,sprint,true,89,mint,good,31739774977235,72-431-4488,Purple,Legacy Pharmaceutical Packaging,
508,iphone xs,128gb,tmobile,true,88,fair,mint,47322939619827,75-198-0767,Mauv,REMEDYREPACK INC.,
509,iphone xr,128gb,verizon,false,94,mint,fair,84640284252830,56-430-3916,Goldenrod,"Allermed Laboratories, Inc.",a86c:cf06:b229:fbc5:3e00:a953:96f4:5acb
510,iphone 8 plus,128gb,verizon,false,98,mint,good,26264774889439,03-161-9644,Purple,"Physicians Total Care, Inc.",
511,iphone 8 plus,128gb,att,true,94,fair,fair,40529234778535,19-958-4434,Turquoise,"Vitality Works, Inc.",
512,iphone 8,256gb,verizon,true,88,fair,good,14657541593731,94-214-4637,Red,Apotheca Company,
513,iphone xr,128gb,att,false,99,fair,good,25075995089633,66-147-5377,Teal,"Kareway Product, Inc.",
514,iphone 8 plus,256gb,sprint,false,86,fair,fair,28088575305634,47-881-9490,Orange,"Nelco Laboratories, Inc.",
515,iphone x,64gb,att,true,86,mint,fair,80411612889598,23-261-3548,Red,Energizer Personal Care LLC,
516,iphone xr,64gb,tmobile,true,86,fair,mint,21861860665783,31-352-3818,Red,sanofi-aventis U.S. LLC,
517,iphone 8,128gb,verizon,false,100,mint,fair,27860866767579,46-336-5414,Red,Unit Dose Services,
518,iphone 8,128gb,att,true,95,fair,mint,31158071781489,91-266-3663,Blue,"Nelco Laboratories, Inc.",2cb2:6bfd:814e:199f:ce52:e477:3a38:f9e2
519,iphone 8,64gb,att,false,90,fair,fair,70551512080457,08-352-0886,Turquoise,"ProPhase Labs, Inc.",
520,iphone x,256gb,att,false,97,good,fair,12947691813691,53-544-1987,Green,Gambro Renal Products,
521,iphone x,256gb,att,true,95,fair,good,52572966924550,16-352-5802,Fuscia,West-ward Pharmaceutical Corp.,
522,iphone xs,64gb,sprint,false,98,good,fair,98167361149280,71-360-4285,Mauv,TYA Pharmaceuticals,cc25:9942:164f:6452:5231:9935:e18d:18e0
523,iphone 8 plus,256gb,verizon,false,86,fair,fair,62275286044430,89-974-1334,Green,West-Ward Pharmaceutical Corp,
524,iphone xs,256gb,sprint,true,96,fair,mint,87552945471603,54-935-0487,Pink,J. A. Cosmetics U.S. INC,
525,iphone x,64gb,att,true,96,mint,good,1796327603896,71-475-0957,Green,Conopco Inc. d/b/a Unilever,
526,iphone xs,64gb,tmobile,true,99,good,fair,56148915145855,90-223-1514,Teal,Wal-Mart Stores Inc,
527,iphone 8,256gb,verizon,false,91,mint,fair,23520021855291,06-250-4975,Violet,DIRECT RX,
528,iphone x,64gb,sprint,false,94,good,mint,15239744141506,78-065-0068,Red,Sagent Pharmaceuticals,8639:f6ed:e0fa:d160:5c66:ad78:ee1a:f91
529,iphone x,64gb,sprint,true,97,good,good,48501138474336,37-369-4193,Mauv,Amway Corp,
530,iphone 8 plus,64gb,att,false,93,good,mint,50754090314027,36-159-3870,Violet,Merle Norman Cosmetics,
531,iphone x,64gb,verizon,false,98,good,mint,85808018945201,30-469-9642,Pink,Walgreen Company,
532,iphone xs,128gb,sprint,false,92,mint,good,64304838760971,42-916-4752,Teal,"Bristol-Myers Squibb Holdings Pharma, Ltd. Liability Company",
533,iphone 8 plus,256gb,tmobile,true,95,good,mint,38465270140505,76-228-4283,Pink,Mylan Institutional LLC,
534,iphone 8,256gb,verizon,false,99,good,good,65971895135690,66-577-9322,Turquoise,"Warner Chilcott (US), LLC",
535,iphone xs,64gb,verizon,true,94,good,good,80307698261288,35-663-2940,Fuscia,Kroger Company,
536,iphone xs,128gb,tmobile,false,85,fair,good,42826743610320,50-602-3151,Yellow,Parfums Christian Dior,
537,iphone xr,128gb,tmobile,true,91,fair,good,59631727673671,87-645-9418,Blue,Dr. Reddys Laboratories Limited,
538,iphone xs,128gb,att,false,89,mint,fair,58328927902653,73-520-8400,Red,DIRECT RX,
539,iphone 8 plus,128gb,verizon,false,86,mint,good,39822555284291,45-586-7668,Pink,STAT Rx USA LLC,
540,iphone x,256gb,tmobile,false,90,good,mint,61593874665674,84-424-4913,Red,Publix Super Markets Inc,
541,iphone 8,256gb,att,false,89,good,mint,43325687422596,83-578-6169,Yellow,"Amneal Pharmaceuticals of New York, LLC",
542,iphone 8 plus,64gb,att,true,86,fair,good,15974525716442,81-589-9248,Violet,"Nelco Laboratories, Inc.",
543,iphone xs,128gb,sprint,true,91,fair,mint,74091825102296,45-720-8095,Aquamarine,"AMI Cosmetic Co.,Ltd.",
544,iphone xr,128gb,att,false,99,mint,good,7194301034267,08-559-9522,Orange,"NATURE REPUBLIC CO., LTD.",
545,iphone 8,64gb,tmobile,true,93,mint,mint,7769036465539,75-387-0594,Fuscia,"Eco-Logics, Inc.",
546,iphone x,256gb,sprint,true,93,good,mint,21511537654529,91-882-4492,Turquoise,"Allergy Laboratories, Inc.",
547,iphone xr,128gb,tmobile,true,90,mint,mint,8822299381697,92-593-4812,Turquoise,"Shopko Stores Operating Co., LLC.",
548,iphone 8,128gb,verizon,true,88,mint,mint,2979989690813,85-142-4399,Yellow,"Rising Pharmaceuticals, Inc.",
549,iphone x,64gb,att,true,87,mint,good,64833997423289,36-343-0649,Red,AR Medicom Inc,
550,iphone 8,128gb,att,false,95,fair,fair,81830170006298,62-169-5297,Yellow,Valeant Pharmaceuticals North America LLC,
551,iphone x,64gb,tmobile,false,98,mint,fair,77388951959078,20-817-9729,Yellow,"Nelson Bach USA, Ltd.",
552,iphone xs,128gb,sprint,false,100,good,fair,90912919900363,10-601-0027,Puce,Best Choice,
553,iphone xs,64gb,verizon,false,92,fair,fair,57890466821812,74-545-8604,Red,"Nova Homeopathic Therapeutics, Inc.",
554,iphone xs,256gb,tmobile,false,86,good,mint,58878525832931,71-045-6229,Indigo,"ALK-Abello, Inc.",
555,iphone xs,64gb,tmobile,true,85,mint,fair,99538701758293,25-410-2802,Fuscia,Jubilant HollisterStier LLC,
556,iphone x,128gb,att,true,98,fair,mint,3578027913469,55-736-3341,Indigo,Apotheca Company,
557,iphone 8 plus,256gb,sprint,true,92,fair,mint,41400651064918,55-659-8844,Purple,Mylan Pharmaceuticals Inc.,
558,iphone xs,128gb,verizon,false,86,mint,mint,83389996752256,66-441-1496,Pink,Uptown Pharmacy of Kingsman,
559,iphone 8,64gb,tmobile,false,100,fair,fair,37888891436095,92-064-2153,Mauv,Green Choice for Life,
560,iphone xs,256gb,att,false,100,good,mint,24194824721870,22-092-6817,Orange,REMEDYREPACK INC.,
561,iphone 8,128gb,verizon,false,91,good,good,70717703226279,84-359-2024,Turquoise,Contract Pharmacy Services-PA,
562,iphone x,64gb,verizon,true,87,fair,fair,71819985061163,27-527-7976,Indigo,Reckitt Benckiser (UK) Ltd,
563,iphone 8 plus,128gb,sprint,true,88,mint,good,17034524725653,32-559-5158,Indigo,Premier Medical Distribution,
564,iphone 8 plus,128gb,att,true,92,mint,mint,65124507551844,13-563-6611,Green,Medi-Physics Inc.,
565,iphone 8 plus,256gb,att,true,93,mint,good,35121224022449,61-801-3332,Red,L. Perrigo Company,
566,iphone xs,128gb,sprint,true,93,good,fair,7388209939294,77-414-8836,Violet,"Alva-Amco Pharmacal Companies, Inc.",
567,iphone 8 plus,64gb,tmobile,true,98,good,mint,21863224418458,25-963-2900,Mauv,Gordon Laboratories,
568,iphone xr,256gb,att,true,93,good,mint,47042867668445,12-333-3376,Yellow,Unit Dose Services,
569,iphone x,256gb,tmobile,true,97,mint,fair,9637737499801,54-376-7470,Indigo,Cardinal Health,
570,iphone xs,64gb,tmobile,false,93,fair,fair,48640497589191,12-528-4601,Purple,REMEDYREPACK INC.,
571,iphone xs,128gb,tmobile,true,95,mint,fair,88578870266445,16-970-9507,Mauv,KMART CORPORATION,597c:66e:3137:d916:8f83:e412:af68:5dae
572,iphone xs,128gb,verizon,true,89,fair,good,50616457849411,09-329-9825,Red,Cascades Tissue Group Inc.,
573,iphone xs,256gb,tmobile,true,95,good,good,46363669048494,05-762-8714,Puce,Organon Pharmaceuticals USA,
574,iphone 8 plus,128gb,sprint,false,99,fair,fair,2848519630085,79-986-8925,Pink,Unit Dose Services,
575,iphone xr,256gb,tmobile,false,96,mint,fair,79784924917370,22-891-5042,Aquamarine,Bayer HealthCare Pharmaceuticals Inc.,
576,iphone xs,64gb,sprint,false,100,good,mint,86032994715209,03-442-2503,Purple,REMEDYREPACK INC.,
577,iphone 8 plus,64gb,att,true,93,good,mint,95245364605320,89-007-0896,Khaki,"PD-Rx Pharmaceuticals, Inc.",
578,iphone xr,64gb,sprint,false,100,good,good,42443972000843,84-553-8491,Violet,"Liberty Pharmaceuticals, Inc.",
579,iphone x,64gb,tmobile,true,86,mint,fair,32860235288945,31-155-0971,Pink,Sun Pharma Global FZE,
580,iphone 8 plus,128gb,verizon,true,92,good,mint,16756891628586,80-105-7670,Fuscia,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,
581,iphone x,128gb,tmobile,true,92,mint,fair,22940732410114,50-944-3800,Goldenrod,REMEDYREPACK INC.,
582,iphone 8 plus,64gb,sprint,false,99,mint,fair,83916303759502,12-968-7629,Purple,AbbVie Inc.,
583,iphone xs,256gb,verizon,false,92,good,fair,64291377656628,19-213-2574,Puce,Supervalu Inc,
584,iphone xr,64gb,verizon,false,92,mint,fair,26072176245928,01-973-4171,Green,Supervalu Inc,
585,iphone 8,256gb,tmobile,true,93,good,fair,7723227147143,93-200-4759,Violet,"Preferred Pharmaceuticals, Inc.",
586,iphone x,128gb,tmobile,true,93,fair,mint,8292638146112,31-525-2711,Maroon,REMEDYREPACK INC.,
587,iphone xs,64gb,att,false,92,good,good,18638240412862,35-337-3721,Indigo,"Genentech, Inc.",
588,iphone 8,256gb,tmobile,true,95,mint,good,66511450245530,31-558-7549,Goldenrod,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
589,iphone x,64gb,att,true,98,mint,mint,15739458222824,12-405-5630,Purple,"Deseret Biologicals, Inc.",
590,iphone xr,64gb,verizon,true,94,good,fair,83974394287539,08-621-4965,Purple,Akorn Inc.,
591,iphone xr,64gb,att,false,86,mint,good,95308637755927,76-403-3560,Khaki,Wockhardt USA LLC.,
592,iphone xr,256gb,sprint,false,96,good,mint,39523304442739,28-534-7694,Puce,Aspirus Keweenaw Home Medical Equipment,
593,iphone x,64gb,att,false,94,fair,good,46234463200001,84-608-8594,Blue,Zydus Pharmaceuticals (USA) Inc.,
594,iphone xr,256gb,att,false,94,mint,mint,9790999215746,96-276-5946,Yellow,Dolgencorp Inc,
595,iphone 8 plus,64gb,sprint,true,92,fair,fair,82619915746666,17-479-3028,Aquamarine,REMEDYREPACK INC.,
596,iphone xs,256gb,verizon,true,96,fair,good,10807335504179,28-093-7530,Teal,Ecolab Inc.,
597,iphone 8 plus,128gb,verizon,true,93,good,mint,16706512310477,46-627-2093,Orange,"Autumn Harp, Inc.",
598,iphone 8 plus,128gb,tmobile,false,100,fair,mint,48458440517848,86-162-3466,Mauv,"DeWitt Laboratories, Inc",
599,iphone xr,256gb,verizon,true,94,fair,mint,67438517268991,20-299-5170,Blue,Keltman Pharmaceuticals Inc.,
600,iphone 8,256gb,verizon,false,90,mint,fair,99057683359395,50-850-0155,Aquamarine,"TIME CAP LABORATORIES, INC",
601,iphone x,128gb,verizon,true,94,good,mint,83711520003927,82-097-3711,Crimson,"NCS HealthCare of KY, Inc dba Vangard Labs",
602,iphone x,128gb,att,true,98,good,good,54422860981934,06-078-5093,Violet,"Nelco Laboratories, Inc.",
603,iphone xs,256gb,tmobile,true,92,good,good,86561504394588,44-301-1245,Aquamarine,WellSpring Pharmaceutical Corporation,
604,iphone xr,128gb,att,true,88,fair,fair,45728029261053,35-279-2726,Pink,"Bayer HealthCare LLC, Consumer Care",
605,iphone xs,128gb,att,true,97,good,good,27453373235846,08-148-9638,Teal,Kroger Company,
606,iphone 8 plus,256gb,sprint,true,98,fair,good,49787360649631,90-092-2513,Violet,Kao Brands Company,
607,iphone xs,256gb,att,false,98,good,mint,48405245604300,52-174-5273,Blue,Neutrogena Corporation,
608,iphone 8 plus,256gb,sprint,false,98,fair,fair,81083345300980,66-296-7165,Green,"Imperial Bag & Paper Co.,LLC dba Pioneer Associates",
609,iphone xr,128gb,tmobile,false,88,good,fair,98304169216326,35-351-1213,Purple,"Upsher-Smith Laboratories, Inc.",
610,iphone xs,256gb,tmobile,true,88,good,mint,70308023137843,24-786-5441,Maroon,"ABC Compounding Co., Inc.",
611,iphone 8,64gb,sprint,false,93,mint,good,76667994693109,13-596-2617,Violet,Clinical Solutions Wholesale,
612,iphone 8,128gb,tmobile,true,99,good,fair,90667198436518,25-796-4305,Goldenrod,Physician Therapeutics LLC,e650:52c3:c63b:bd3f:7509:f22c:6aad:c07b
613,iphone xs,256gb,tmobile,true,94,mint,good,56338387500940,72-352-0738,Khaki,sanofi-aventis U.S. LLC,
614,iphone 8,256gb,tmobile,false,92,mint,fair,11309373756736,52-297-0817,Turquoise,"Dolgencorp, LLC",
615,iphone xs,64gb,sprint,false,87,fair,fair,92690529466047,28-340-9028,Maroon,North Safety Products,
616,iphone 8,64gb,sprint,false,86,fair,fair,90885793029329,24-418-2617,Green,Cardinal Health,
617,iphone xs,128gb,verizon,true,99,mint,good,12031710140367,97-002-5486,Yellow,Bryant Ranch Prepack,
618,iphone xr,256gb,att,false,87,good,mint,22789164710724,55-403-1391,Orange,Ventura International Ltd.,
619,iphone 8,128gb,sprint,true,93,good,fair,96619915874040,32-093-5484,Crimson,"AvKARE, Inc.",
620,iphone 8,256gb,tmobile,true,100,fair,fair,91118293691863,62-084-7134,Indigo,"Allergan, Inc.",
621,iphone 8,64gb,sprint,false,97,good,mint,4872263363062,57-206-4941,Puce,Meijer Distribution Inc,
622,iphone 8 plus,64gb,sprint,true,86,fair,fair,86121728753965,61-176-3881,Aquamarine,Glenmark Generics Inc. USA,
623,iphone 8,256gb,verizon,false,97,mint,fair,12075727339965,64-522-3069,Green,Hanover Pen Corp dba HPC Global,
624,iphone 8,128gb,tmobile,true,88,mint,mint,12129134752878,43-138-2855,Teal,Cederroth AB,
625,iphone 8,256gb,verizon,true,95,fair,mint,46419898231834,09-070-8029,Maroon,Reckitt Benckiser LLC,
626,iphone 8 plus,256gb,verizon,false,100,mint,good,17095808478543,99-810-5296,Teal,"Roberts Oxygen Company, Inc.",5ff5:4a9f:45ed:f336:9d3:88fb:ab77:300d
627,iphone 8 plus,256gb,sprint,false,95,mint,fair,81531776595226,43-010-7408,Aquamarine,Heraeus Kulzer LLC,
628,iphone xr,128gb,tmobile,false,97,mint,mint,40690859719227,28-270-7174,Purple,SUN PHARMACEUTICAL INDUSTRIES LIMITED,
629,iphone xs,256gb,tmobile,true,97,mint,fair,29061622154107,15-990-2213,Fuscia,Seroyal USA,
630,iphone 8 plus,64gb,tmobile,true,92,good,mint,17460211911174,43-646-9493,Purple,"Pharbest Pharmaceuticals, Inc.",
631,iphone xs,64gb,tmobile,false,94,fair,mint,11634479716887,15-408-5271,Crimson,Duane Reade,
632,iphone 8 plus,64gb,tmobile,false,92,fair,fair,90923350271893,62-942-6779,Red,Wakfern Food Corporation,
633,iphone 8 plus,64gb,att,false,91,fair,good,29317821431413,30-090-6383,Crimson,Roerig,
634,iphone 8 plus,256gb,verizon,true,100,fair,mint,5656650202305,96-965-7122,Khaki,Kroger,
635,iphone x,64gb,sprint,false,87,mint,good,73536235613989,55-460-3219,Maroon,A-S Medication Solutions LLC,
636,iphone 8,256gb,tmobile,true,97,fair,good,14287929249464,75-335-9210,Khaki,"Physicians Total Care, Inc.",
637,iphone x,64gb,tmobile,false,86,fair,mint,78815227352909,91-721-9849,Red,The Kroger Co.,
638,iphone xs,64gb,tmobile,false,86,fair,good,30152823178160,99-655-6535,Yellow,Qualitest Pharmaceuticals,
639,iphone 8,256gb,att,false,91,good,mint,97487924885082,49-354-2708,Orange,Rebel Distributors Corp.,
640,iphone x,128gb,verizon,false,89,mint,fair,42202910214648,68-546-8568,Khaki,"Morton Salt, Inc.",
641,iphone xr,128gb,att,false,96,good,mint,37631173280082,28-241-2943,Indigo,"Aphena Pharma Solutions - Tennessee, LLC",
642,iphone xs,256gb,tmobile,true,89,good,mint,3481310264431,93-335-2649,Violet,Rugby Laboratories Inc,
643,iphone 8,128gb,tmobile,true,88,good,mint,15089322684570,36-004-3992,Purple,"Physicians Total Care, Inc.",
644,iphone x,64gb,sprint,false,98,mint,mint,72030662698116,72-561-8505,Red,Unique Holding Group Inc,
645,iphone 8,64gb,verizon,false,87,good,mint,72944735912715,56-000-4968,Orange,American Sales Company,
646,iphone 8 plus,128gb,att,true,90,fair,mint,23508062383792,97-626-0233,Blue,Cardinal Health,
647,iphone x,256gb,sprint,false,93,mint,mint,57672894834219,42-082-4406,Blue,"GOJO Industries, Inc.",
648,iphone xs,64gb,att,false,100,good,fair,35234206487705,02-683-7150,Purple,B. Braun Medical Inc.,
649,iphone 8,64gb,verizon,false,91,fair,mint,60164823306850,22-762-5238,Khaki,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
650,iphone xs,64gb,sprint,true,90,mint,mint,94684060809513,65-295-6856,Purple,Aidarex Pharmaceuticals LLC,
651,iphone xr,64gb,att,true,98,good,good,44565350071098,29-023-6946,Teal,Mission Hills S.A de C.V,
652,iphone xr,256gb,tmobile,false,99,mint,good,327547143541,08-016-8797,Aquamarine,"Paddock Laboratories, Inc.",
653,iphone xs,256gb,att,true,100,fair,fair,66285164717298,85-947-1613,Fuscia,Boehringer Ingelheim Pharmaceuticals Inc.,10d:d310:8184:a3ad:78f:beea:89cd:6edf
654,iphone x,256gb,sprint,true,98,good,fair,25233242842380,23-553-9651,Indigo,Bryant Ranch Prepack,
655,iphone 8,64gb,verizon,true,100,fair,fair,10070253693895,67-909-9823,Teal,"Natural Creations, Inc.",
656,iphone xr,256gb,verizon,true,86,fair,mint,6917279805213,40-132-8451,Yellow,Keltman Pharmaceuticals Inc.,
657,iphone 8 plus,128gb,tmobile,false,87,fair,fair,76234281266779,83-680-1156,Red,CLINIQUE LABORATORIES INC.,
658,iphone xr,128gb,att,true,91,good,mint,78854722943350,73-215-3072,Teal,"Caraco Pharmaceutical Laboratories, Ltd.",
659,iphone 8 plus,256gb,sprint,true,100,good,good,42444322873707,72-851-9610,Mauv,Perrigo New York Inc,
660,iphone 8 plus,128gb,sprint,false,86,mint,fair,81811087112552,10-737-1896,Mauv,Perrigo New York Inc,
661,iphone xr,64gb,tmobile,false,91,mint,good,31845452639620,94-650-4310,Khaki,"ALK-Abello, Inc.",
662,iphone 8 plus,64gb,sprint,true,89,mint,good,25102511713595,10-843-5324,Purple,"Antigen Laboratories, Inc.",
663,iphone x,256gb,tmobile,true,88,good,fair,66813355497037,89-091-5747,Teal,McKnight Inc. dba McKnight Medical,
664,iphone xr,64gb,att,false,87,mint,fair,1633696744768,10-062-5291,Blue,"NATURE REPUBLIC CO., LTD.",
665,iphone 8 plus,256gb,sprint,true,85,mint,mint,51221171482694,16-973-1661,Aquamarine,Noxell,
666,iphone 8 plus,128gb,tmobile,false,99,fair,fair,52600962665165,55-003-7534,Mauv,"PD-Rx Pharmaceuticals, Inc.",
667,iphone x,64gb,tmobile,false,100,fair,fair,66737163712825,17-966-4892,Pink,"Hospira, Inc.",
668,iphone xr,128gb,verizon,false,86,mint,fair,71832770345389,63-637-3592,Turquoise,AbbVie Inc.,
669,iphone xs,256gb,tmobile,true,96,good,mint,64091589613620,98-587-4826,Turquoise,"Watson Laboratories, Inc.",1e1d:c1a3:7703:d152:d64f:7f1d:322b:333c
670,iphone xs,64gb,sprint,false,100,fair,mint,19765849544146,09-570-9577,Indigo,"ALK-Abello, Inc.",
671,iphone 8 plus,128gb,tmobile,false,85,good,fair,60844653885934,10-887-0407,Orange,Forces of Nature,
672,iphone 8 plus,64gb,verizon,true,85,mint,mint,58028387471320,84-083-1888,Purple,Isis Enterprises LLC DBA: S4 Suncare,
673,iphone xr,128gb,verizon,false,86,fair,fair,66131887898601,33-504-7928,Yellow,"ALK-Abello, Inc.",
674,iphone 8 plus,256gb,verizon,false,87,fair,mint,18426609441329,98-263-7708,Crimson,"Jets, Sets, & Elephants Beauty Corp.",
675,iphone x,128gb,tmobile,true,90,fair,mint,85916309160888,10-434-2269,Violet,YVES ROCHER NORTH AMERICA INC,fd1b:1c78:e431:9bc5:fe49:a6eb:8d0f:f81
676,iphone xr,128gb,verizon,true,89,mint,good,27407230681361,84-825-2891,Indigo,Parke-Davis Div of Pfizer Inc,
